,trial_nb,time,pos,lick,frame,enc,speed,valve
4264,1,12.752,59.499000549316406,0,1,1,2.871406934426604,0
4265,1,12.76,59.507999420166016,0,0,0,0.0,0
4266,1,12.768,59.518001556396484,0,0,0,0.0,0
4267,1,12.776,59.518001556396484,0,0,1,2.871406934426604,0
4268,1,12.784,59.518001556396484,1,1,0,0.0,0
4269,1,12.792,59.518001556396484,1,0,1,2.871406934426604,0
4270,1,12.8,59.527000427246094,1,0,0,0.0,0
4271,1,12.808,59.5359992980957,1,0,0,0.0,0
4272,1,12.816,59.54600143432617,1,1,0,0.0,0
4273,1,12.824,59.54600143432617,0,0,0,0.0,0
4274,1,12.832,59.54600143432617,0,0,0,0.0,0
4275,1,12.84,59.54600143432617,0,0,0,0.0,0
4276,1,12.848,59.54600143432617,0,1,0,0.0,0
4277,1,12.856,59.54600143432617,0,0,1,2.871406934426604,0
4278,1,12.864,59.54600143432617,0,0,0,0.0,0
4279,1,12.872,59.54600143432617,0,0,1,2.871406934426604,0
4280,1,12.88,59.54600143432617,0,1,1,2.871406934426604,0
4281,1,12.888,59.56399917602539,0,0,1,2.871406934426604,0
4282,1,12.896,59.56399917602539,1,0,0,0.0,0
4283,1,12.904,59.58300018310547,1,0,1,2.871406934426604,0
4284,1,12.912,59.58300018310547,1,1,0,0.0,0
4285,1,12.92,59.59199905395508,1,0,0,0.0,0
4286,1,12.928,59.59199905395508,1,0,0,0.0,0
4287,1,12.936,59.59199905395508,1,0,0,0.0,0
4288,1,12.944,59.59199905395508,1,0,0,0.0,0
4289,1,12.952,59.59199905395508,0,1,0,0.0,0
4290,1,12.96,59.59199905395508,0,0,0,0.0,0
4291,1,12.968,59.59199905395508,0,0,0,0.0,0
4292,1,12.976,59.59199905395508,0,0,0,0.0,0
4293,1,12.984,59.59199905395508,0,1,0,0.0,0
4294,1,12.992,59.59199905395508,0,0,0,0.0,0
4295,1,13.0,59.59199905395508,0,0,0,0.0,0
4296,1,13.008,59.59199905395508,0,0,0,0.0,0
4297,1,13.016,59.59199905395508,0,1,0,0.0,0
4298,1,13.024,59.59199905395508,1,0,0,0.0,0
4299,1,13.032,59.59199905395508,1,0,0,0.0,0
4300,1,13.04,59.59199905395508,1,0,0,0.0,0
4301,1,13.048,59.59199905395508,1,1,0,0.0,0
4302,1,13.056,59.59199905395508,1,0,0,0.0,0
4303,1,13.064,59.59199905395508,0,0,0,0.0,0
4304,1,13.072,59.59199905395508,0,0,0,0.0,0
4305,1,13.08,59.59199905395508,0,1,0,0.0,0
4306,1,13.088,59.59199905395508,0,0,0,0.0,0
4307,1,13.096,59.59199905395508,0,0,1,2.871406934426604,0
4308,1,13.104,59.59199905395508,0,0,0,0.0,0
