,com,perc,snr,r,cnn
182,"(166.5585917487794, 301.56841999477876)",44.7721,9.03742,0.910693,0.421333
183,"(153.94594199285334, 325.2030525126157)",48.3673,4.33815,0.435457,0.915268
184,"(154.6242452580485, 366.3288377403504)",37.6607,16.4015,0.961019,0.987743
185,"(153.90217848943342, 344.9824450605881)",47.0566,22.8495,0.968913,0.870572
186,"(136.9543277872122, 336.7461922559095)",49.3283,12.4212,0.936546,0.980708
187,"(141.37924970571987, 343.43458123525323)",49.3011,7.79207,0.902262,0.526175
188,"(151.13482697010497, 356.37410566293624)",41.7418,7.08628,0.410629,0.999803
189,"(134.84143822716408, 357.1349274923616)",49.3888,6.42869,0.866332,1.0
190,"(123.65082377589819, 340.006518125653)",44.8514,5.33097,0.797358,0.972743
191,"(150.73117696251325, 388.9966156850347)",44.181,22.484,0.965751,0.99963
192,"(134.45371258924885, 387.14521860094646)",43.3937,11.2049,0.732223,0.88139
193,"(149.1711690768159, 379.5728123475685)",44.5645,14.1592,0.817458,1.0
194,"(140.147739402921, 387.1005913808258)",48.8042,17.2859,0.905516,0.999999
195,"(139.14703876205752, 381.4766398866789)",47.0538,9.27683,0.837327,0.997767
196,"(148.25677388931845, 418.89910071759857)",46.3015,13.7904,0.965774,0.999999
197,"(155.65078386242558, 433.4775016249513)",49.5374,9.53649,0.923362,0.998517
198,"(140.47413569850042, 414.98112907363094)",41.2838,8.39408,0.876511,0.999951
199,"(151.3694458129341, 426.51828659552336)",42.6275,8.60768,0.933752,0.998075
200,"(127.69669045480202, 423.41683785788376)",39.461,10.1526,0.913437,0.879059
201,"(151.89318276097657, 452.73161910728095)",44.5231,8.86705,0.9523,0.999669
202,"(136.68831430546777, 455.91789100912797)",51.7102,6.93821,0.92425,0.680604
203,"(192.37738610748423, 30.474794884068288)",50.9369,7.63604,0.946026,0.99971
204,"(185.075794607679, 16.62028303304543)",40.607,5.221,0.948038,0.999765
205,"(183.97394641372748, 26.166256100752683)",48.0127,5.44544,0.721442,0.978579
206,"(184.73673802637126, 68.92515997496102)",57.3663,4.2364,0.901255,0.941228
207,"(188.47293395692873, 193.24904730276032)",47.7636,8.83899,0.927489,0.81893
208,"(190.23629176075096, 181.17691834429655)",51.3852,6.79507,0.951093,0.999979
209,"(179.0956434939824, 181.13909349154792)",41.9137,5.70706,0.880591,0.944355
210,"(172.8668635657008, 191.59736609973973)",47.7086,6.07045,0.861824,0.894771
211,"(189.41305805709376, 232.77658551891128)",55.1122,5.17446,0.857255,0.998597
212,"(195.58992452156357, 258.203277953367)",44.6282,22.4693,0.958567,1.0
213,"(184.3683216218239, 254.7005990284875)",47.3693,11.9734,0.960856,0.999957
214,"(189.80369345385108, 271.2992053772522)",45.8345,11.3766,0.942439,0.999885
215,"(177.8621185771113, 273.3228059771629)",41.6584,9.40202,0.87057,0.654237
216,"(197.3349392110892, 303.70624678723306)",48.592,21.2373,0.96954,0.886804
217,"(189.3717285865958, 317.82079307844623)",51.8249,21.03,0.970912,1.0
218,"(175.98261644927692, 314.7303956312762)",40.7577,15.599,0.969003,0.999999
219,"(171.84470410124263, 295.2042342489686)",47.241,11.9246,0.930676,1.0
220,"(186.1666644891636, 304.7910996214058)",45.8556,9.12708,0.923693,0.999873
221,"(199.41327640958366, 319.8525313793262)",47.0781,11.969,0.92297,0.99999
222,"(196.84443131295652, 311.25727677703736)",45.6332,7.67494,0.889418,0.981136
223,"(171.80840626341447, 308.14767677791224)",47.0608,8.64016,0.868198,0.469191
224,"(181.51491816754864, 300.1888641394396)",46.5381,7.59804,0.902672,0.994466
225,"(191.41139673099315, 302.3023116398296)",52.9727,11.6894,0.913605,0.522337
226,"(177.9235065498651, 319.34037298200536)",43.3328,11.2989,0.842062,0.977519
227,"(198.10160457434463, 332.2000222341364)",45.9561,18.6984,0.97045,0.999841
228,"(177.9746048487617, 338.76842473474915)",44.2004,19.6074,0.960701,1.0
229,"(197.25381838397524, 354.61560198869716)",48.1606,17.642,0.815124,1.0
230,"(198.76565276690442, 338.8826598412078)",48.8987,16.6882,0.892724,0.99116
231,"(175.5407976981596, 345.212602229941)",47.7264,13.4779,0.93078,0.99998
232,"(170.75003379056355, 358.04263838245595)",46.7242,16.2679,0.946632,0.997882
233,"(181.6116321753611, 333.35935784951806)",50.685,17.845,0.963655,0.997361
234,"(196.42688849109658, 346.9338209128236)",42.6029,10.981,0.870924,0.999997
235,"(188.86576609560237, 326.48280462532233)",45.1592,13.1976,0.930458,0.803105
236,"(178.8479233357396, 353.44864799026374)",53.5986,8.85054,0.872377,0.997234
237,"(187.8757207113894, 380.99340637082867)",55.9687,12.3881,0.970316,0.999995
238,"(181.6139141395079, 372.0287749007333)",51.8007,13.0473,0.931019,0.999808
239,"(170.3513712922895, 397.5225363136346)",40.5154,7.63246,0.824249,0.900925
240,"(178.5476451953349, 376.2818207239715)",55.6966,9.75351,0.84176,0.999514
241,"(192.35970555209482, 391.63626916301297)",47.0522,5.86676,0.843649,0.999944
242,"(180.30363560978188, 364.89061830764916)",41.3233,4.3667,0.647744,0.921764
243,"(200.99261513570607, 372.7475660632494)",36.6842,10.5133,0.924974,0.999969
244,"(193.22973144617058, 368.7546735357503)",45.498,5.92962,0.643417,0.999986
245,"(196.2476076198488, 423.69702651436177)",47.6322,13.255,0.975221,0.999995
246,"(173.293954953801, 421.39998642396137)",45.5366,9.22189,0.933704,0.999999
247,"(181.1839059795468, 416.2616944999481)",46.7763,13.5428,0.958482,0.999958
248,"(188.70294830133034, 414.2290956501896)",50.9126,6.97257,0.942936,0.998285
249,"(187.9058339732463, 431.3262833732247)",43.475,5.09692,0.817445,0.989885
250,"(164.70359817135858, 402.6976407144811)",51.141,7.01906,0.618716,0.999965
251,"(197.59430694876642, 460.95211040490454)",42.4709,6.35226,0.930634,0.974158
252,"(178.35233861795564, 453.38642010578286)",45.8,7.47949,0.961069,0.999602
253,"(173.71483156720822, 471.00640753603466)",50.1058,5.44654,0.942618,0.977477
254,"(191.5626409928999, 467.08900548876)",51.5459,4.60478,0.85247,0.992185
255,"(195.49540484737702, 447.81886430906934)",43.9928,5.61132,0.875809,0.977227
256,"(172.37213985591134, 458.17143180838195)",52.791,4.87471,0.623325,0.97241
257,"(201.2043608646112, 439.0833465521645)",45.3149,7.33166,0.740221,0.991238
258,"(235.96154514925496, 4.460946036751437)",51.0389,11.8373,0.965251,0.999817
259,"(215.46613038339643, 28.434815441956097)",52.31,12.5284,0.952504,1.0
260,"(235.2172353734928, 30.855850790749905)",56.9083,7.24702,0.90729,0.999905
261,"(234.11620475831515, 12.068948530764766)",52.8786,5.27525,0.752084,0.998613
262,"(222.8772011734281, 4.191603763339098)",48.746,5.59373,0.955179,0.881655
263,"(236.7202429226393, 69.90822594822379)",48.5047,6.87196,0.948829,0.999975
264,"(215.79555152538904, 56.77987027612739)",54.939,4.66689,0.915604,0.999706
265,"(233.04790620806253, 97.01855165333312)",42.1408,5.97269,0.925744,0.950273
266,"(226.66821145729972, 150.54625036232426)",49.2705,5.90292,0.92633,0.999981
267,"(220.2386852950739, 151.65116426174043)",45.2625,5.08315,0.940944,0.74102
268,"(218.98593695565, 183.5561573317868)",48.0146,4.88781,0.948597,0.992622
269,"(226.36515345221082, 196.5314388977851)",43.2363,6.31097,0.926884,0.999638
270,"(235.64630316604513, 186.89087128327307)",48.4542,4.87647,0.938456,0.898431
271,"(225.25696181576114, 184.15282759244798)",45.6843,4.85428,0.864757,0.993528
272,"(222.2741052807084, 211.82321617568735)",48.0696,9.49723,0.645492,0.997897
273,"(218.8970386819983, 236.30099357956354)",40.9428,10.2968,0.904647,0.961426
274,"(228.56555897371823, 264.8067379019117)",40.5249,21.4084,0.928437,0.999698
275,"(216.8627398606794, 271.1450523125684)",46.98,20.7194,0.929543,0.851406
276,"(215.37371826687587, 265.30027217401334)",46.2898,16.7387,0.975208,0.999998
277,"(222.25794452822035, 257.2911995097524)",46.4905,9.82327,0.892167,0.99993
278,"(223.47422440554402, 279.1419601362907)",54.2964,23.4857,0.942496,0.999997
279,"(232.49605037550893, 269.77114726682953)",45.279,6.86616,0.929412,0.889358
280,"(212.32435471735138, 297.10999979429255)",47.632,15.9613,0.952575,0.999997
281,"(216.64664496659435, 312.9602770967111)",55.0707,15.5636,0.948368,0.871156
282,"(215.00704496042536, 291.11854712949713)",45.9278,13.5594,0.870956,1.0
283,"(241.8134070055337, 299.43069001075924)",55.458,17.4922,0.95931,0.54214
284,"(223.2499491159561, 343.6566853328439)",46.6079,22.4718,0.963667,1.0
285,"(214.7371723321165, 348.29369683251775)",48.0711,24.6007,0.969924,0.999534
286,"(232.37195111796586, 350.0054094325819)",45.4621,11.1814,0.846833,0.999301
287,"(206.90286711997513, 333.05450554580705)",41.271,15.9191,0.919193,1.0
288,"(215.4518998958476, 332.514722949604)",43.3482,17.2341,0.957604,0.999999
289,"(232.45991866053794, 333.8759829569462)",48.7096,18.6753,0.935733,0.999694
290,"(223.52707927629524, 355.02301281489054)",51.4257,12.0988,0.86672,0.962544
291,"(211.71584405934954, 340.2011182538739)",43.5336,11.8266,0.816706,0.992382
292,"(230.2768244656871, 386.7120010922944)",49.5555,24.5346,0.891379,0.999998
293,"(221.33303799151236, 384.15204882661465)",46.61,24.2126,0.968724,0.99903
294,"(221.96636550285766, 392.4182498836298)",48.8178,18.4646,0.960083,0.999622
295,"(213.60572819938437, 375.6862704656106)",46.9952,17.0062,0.900027,0.999788
296,"(218.96910531473938, 380.1462251766002)",48.3311,28.3688,0.978585,0.999992
297,"(238.93921709092874, 386.24733103871995)",45.465,16.1778,0.887933,0.999974
298,"(220.77824584062736, 427.32197488220095)",50.4436,20.4956,0.975913,0.999841
299,"(234.76137855327508, 429.7244193528834)",40.2428,22.2663,0.964768,0.999912
300,"(227.82007500203963, 424.2952030490934)",43.3508,19.5106,0.964708,0.999806
301,"(226.49964035864252, 433.57301751466315)",46.609,11.5308,0.859288,0.828355
302,"(216.82485946001844, 420.09747776595816)",50.1156,17.6347,0.788501,0.999578
303,"(224.04729014169442, 409.1971805509817)",45.3098,9.61179,0.794926,0.999809
304,"(234.38114379719784, 421.9935245216024)",57.4297,10.2602,0.863018,1.0
305,"(226.77581926810754, 401.6077009745443)",46.3299,11.2239,0.949382,0.999389
306,"(220.01014207504326, 432.52847754669875)",48.2414,14.8074,0.970198,0.999997
307,"(233.02620653605953, 469.803317361861)",43.8061,14.8256,0.963881,0.999949
308,"(214.26559117604714, 453.7805548101881)",46.7001,15.8378,0.970242,0.932334
309,"(214.51044999653834, 466.0662762815647)",42.5497,10.5752,0.92539,0.99994
310,"(223.5681426582632, 458.53153230800115)",41.3723,9.68161,0.857939,0.97485
311,"(232.37555239954526, 456.13712640887434)",49.9167,8.62744,0.863574,0.999985
312,"(212.75035635235622, 442.77309476432595)",41.9649,6.44724,0.735256,0.985688
313,"(226.85370214916676, 461.74972805681216)",44.8215,10.3233,0.926681,0.999997
314,"(246.79792547723767, 473.45854759142526)",57.4977,5.52185,0.882752,0.795892
315,"(229.99350200140984, 449.3217616481967)",39.1353,5.50594,0.851799,0.996536
316,"(237.19124187232498, 481.1495318903793)",45.847,5.20633,0.848583,0.930795
317,"(257.1390205167655, 4.256164535578498)",44.8198,5.48426,0.95653,0.972842
318,"(276.1422831220649, 21.181467282743625)",50.8929,7.09546,0.965772,0.847173
319,"(275.626288981158, 14.019633503347723)",48.2794,4.41346,0.903016,0.99804
320,"(253.34840731853276, 68.58023945031306)",50.1222,8.80258,0.94498,0.999767
