,2020-08-18_1_1_0,2020-08-19_1_1_0,2020-08-20_1_1_0,2020-08-21_1_1_0,2020-08-24_1_1_0,2020-08-27_1_1_0,2020-08-30_1_1_0,2020-09-02_1_1_1,2020-09-05_1_1_0,2020-09-08_1_1_0,2020-09-11_1_1_0
171,1220,752,709,427,-1,208,868,208,222,220,616
172,1224,762,253,925,862,-1,-1,-1,174,630,143
173,1244,864,734,639,1042,-1,671,386,737,734,459
174,1251,1035,361,512,470,271,480,761,716,303,320
175,1257,-1,93,134,877,-1,-1,-1,-1,-1,-1
176,1279,928,985,966,944,-1,-1,-1,-1,-1,-1
177,1297,1089,-1,386,896,-1,320,-1,868,-1,-1
178,1299,846,784,1031,878,597,229,-1,681,615,-1
179,1301,927,898,1212,895,771,-1,-1,735,293,-1
180,1312,714,-1,66,978,-1,-1,-1,-1,-1,-1
181,-1,71,-1,-1,752,-1,-1,-1,-1,-1,-1
182,-1,206,180,272,276,-1,1294,-1,-1,-1,-1
183,-1,216,195,293,-1,105,223,-1,-1,-1,-1
184,-1,248,-1,344,-1,547,-1,-1,-1,153,-1
185,-1,254,754,1177,337,540,1246,161,167,152,824
186,-1,303,290,1047,-1,197,1257,686,775,-1,-1
187,-1,308,296,423,401,198,373,205,220,670,247
188,-1,320,353,-1,-1,263,-1,270,-1,-1,-1
189,-1,360,340,486,-1,251,-1,-1,281,-1,-1
190,-1,366,-1,-1,-1,256,-1,265,558,895,309
191,-1,377,892,505,959,689,823,633,691,290,850
192,-1,411,394,901,523,-1,-1,356,-1,800,361
193,-1,419,398,554,531,871,556,-1,348,902,365
194,-1,439,-1,986,552,-1,-1,-1,-1,-1,-1
195,-1,557,-1,717,685,-1,769,-1,-1,-1,-1
196,-1,563,-1,724,887,480,-1,-1,-1,508,534
197,-1,600,286,1111,-1,517,850,620,568,277,722
198,-1,606,753,227,287,672,-1,-1,-1,-1,-1
199,-1,669,-1,839,-1,109,1116,467,498,841,140
200,-1,680,928,-1,-1,199,-1,-1,527,896,248
201,-1,704,-1,308,921,852,155,-1,116,106,556
202,-1,778,-1,1070,832,516,-1,-1,614,584,945
203,-1,819,589,194,858,-1,-1,-1,-1,-1,-1
204,-1,841,-1,361,1077,162,-1,-1,575,-1,195
205,-1,868,740,449,930,212,810,623,740,234,261
206,-1,923,-1,-1,1154,261,466,267,733,287,308
207,-1,981,-1,-1,460,618,-1,-1,-1,-1,-1
208,-1,996,735,608,1014,577,-1,-1,391,414,429
209,-1,998,1018,278,1025,604,204,110,-1,-1,-1
210,-1,-1,138,205,213,-1,-1,-1,835,-1,24
211,-1,-1,151,1219,227,58,1104,-1,69,53,87
212,-1,-1,212,301,-1,117,-1,135,-1,116,663
213,-1,-1,282,413,-1,194,357,196,214,204,601
214,-1,-1,355,508,475,643,475,-1,294,-1,686
215,-1,-1,356,-1,-1,267,-1,-1,298,-1,-1
216,-1,-1,560,731,732,-1,-1,-1,-1,-1,-1
217,-1,-1,624,235,727,-1,151,644,-1,-1,714
218,-1,-1,763,834,-1,272,399,535,557,300,-1
219,-1,-1,912,1059,-1,270,-1,-1,303,301,264
220,-1,-1,916,-1,456,254,888,-1,-1,-1,-1
221,-1,-1,1004,931,956,783,216,118,113,92,142
222,-1,-1,-1,295,290,641,-1,-1,-1,-1,-1
223,-1,-1,-1,347,-1,152,271,-1,-1,151,174
224,-1,-1,-1,626,605,390,-1,530,409,430,-1
225,-1,-1,-1,872,1092,269,846,-1,604,298,858
226,-1,-1,-1,943,1072,596,222,177,178,-1,141
227,-1,-1,-1,1260,-1,250,-1,-1,-1,-1,-1
228,-1,-1,-1,-1,192,-1,63,28,32,-1,-1
229,-1,-1,-1,-1,343,155,-1,-1,-1,-1,-1
230,-1,-1,-1,-1,457,877,956,309,-1,-1,674
231,-1,-1,-1,-1,481,273,-1,277,-1,305,323
232,-1,-1,-1,-1,526,325,1038,317,-1,-1,375
233,-1,-1,-1,-1,627,-1,-1,-1,-1,-1,-1
234,-1,-1,-1,-1,900,806,959,163,-1,-1,-1
235,-1,-1,-1,-1,963,-1,-1,-1,-1,-1,-1
236,-1,-1,-1,-1,1073,-1,773,-1,847,509,540
237,-1,-1,-1,-1,1131,195,1010,253,660,901,647
238,-1,-1,-1,-1,1262,631,158,-1,586,737,-1
239,-1,-1,-1,-1,-1,196,-1,-1,-1,-1,-1
240,-1,-1,-1,-1,-1,260,-1,-1,-1,-1,649
241,-1,-1,-1,-1,-1,593,448,-1,-1,-1,-1
242,-1,-1,-1,-1,-1,675,297,-1,-1,-1,-1
243,-1,-1,-1,-1,-1,743,289,-1,-1,-1,197
244,-1,-1,-1,-1,-1,760,-1,-1,277,350,-1
245,-1,-1,-1,-1,-1,846,-1,-1,-1,-1,-1
